code,product_definition,description,cetane_octane,oxygenated_rbob_type,oxygenate_percent,comments_,requester,date_code_assigned
P2B,PREMIUM,RFG,93,A,10,Branded VOC Region1 for Exxon/Mobil @ Manassas,Frank McNasby,30-Jul-19
P2C,PREMIUM,CG,92,A,,,,2-Nov-94
P2D,PREMIUM,CG,92,A,10,,,2-Nov-94
P2E,PREMIUM,CG,93,N,,OVERADDITIZED,LISA WILLIAMS,1-Apr-10
P2F,PREMIUM,CG,93,N,,OVERADDITIZED,LISA WILLIAMS,1-Apr-10
P2G,PREMIUM,CG,,A,6,,,2-Nov-94
P2H,PREMIUM,CG,92,A,7.8,,,2-Nov-94
P2J,PREMIUM,CG,91,A,10,,RANDY THOMPSON,21-Mar-06
P2K,PREMIUM,CG,93,A,10,,RANDY THOMPSON,21-Mar-06
P2L,PREMIUM,CG,93,N,,,RANDY THOMPSON,21-Mar-06
P2M,PREMIUM,CG,93,N,,,RANDY THOMPSON,21-Mar-06
P2N,PREMIUM,RFG - CARB 3 Top Tier,91,A,10,CARFG3 Top Tier,Abe Dyck,19-Jun-18
P2P,PREMIUM,RFG - CARB 3 Top Tier,91,A,10,CARFG3 Top Tier,Abe Dyck,19-Jun-18
P2Q,PREMIUM,CG,93,N,,,MUZY NENZEY,25-Feb-16
P2R,PREMIUM,Premium98 High Performance,98,B,2.7,Super98 Premium Additized High Performance,Thorsten Jekstat,20-Feb-20
P2S,PREMIUM,Premium98 BP Add.,98,B,2.7,Super98 specific Add.,Thorsten Jekstat,20-Feb-20
P2T,PREMIUM,Premium98 gen. Add,98,B,2.7,Super98 generic Add.,Thorsten Jekstat,20-Feb-20
P2U,PREMIUM,CG,92,N,,,,31-Dec-92
P2V,PREMIUM,Premium98,98,R,2.7,Super98,Thorsten Jekstat,21-Feb-20
P2X,PREMIUM,CG,92,N,,,,2-Nov-94
P2Z,PREMIUM,CG,92,N,,OVERADDITIZED,JIM PATTERSON,31-Jan-95
P30,PREMIUM,CG,90,A,10,,CHRIS BULLARD,22-Aug-95
P31,PREMIUM,CG,91,A,7.8,,CHRIS BULLARD,22-Aug-95
P32,PREMIUM,CG,91,N,,,CHRIS BULLARD,22-Aug-95
P34,PREMIUM,CG,92,N,,FOR OFFSITE BLENDING,JAVAN GRIGSBY,10-Oct-95
P36,PREMIUM,CG,92.5,A,10,,CHRIS BULLARD,10-Oct-95
P37,PREMIUM,CG,91,N,,FOR BLENDING WITH 10% ETHANOL,CHRIS BULLARD,17-Oct-95
P38,PREMIUM,CG,91,N,,FOR BLENDING WITH 10% ETHANOL,CHRIS BULLARD,17-Oct-95
P39,PREMIUM,CG,93,O,,,DAVID WOMBLE,6-May-96
P3B,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P3C,PREMIUM,CG,93,A,10,,KAREN ELLIS,7-Jun-94
P3F,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P3H,PREMIUM,CG,93,A,,,,2-Nov-94
P3I,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P3L,PREMIUM,CG,93,N,,,JERRY HINSON,28-Oct-94
P3M,PREMIUM,CG,,M,,,,2-Nov-94
P3N,PREMIUM,CG,,M,,,,2-Nov-94
P3R,PREMIUM,CG,93,N,,,JERRY HINSON,28-Oct-94
P3S,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P3T,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P3U,PREMIUM,CG,93,N,,,,31-Dec-92
P3V,PREMIUM,CG,93,N,,,MIKE KOLOS,26-Nov-94
P3W,PREMIUM,CG,92,N,,,MIKE KOLOS,26-Nov-94
P3X,PREMIUM,CG,93,N,,,,2-Nov-94
P3Y,PREMIUM,CG,93,N,,,MIKE KOLOS,29-Nov-94
P40,PREMIUM,CG,93,A,10,10% OXY/90% UNL PREM,JIM SELLERS,18-Nov-97
P41,PREMIUM,CG,92,A,7.8,7.8% OXY/92.2% UNL PREM,JIM SELLERS,18-Nov-97
P42,PREMIUM,CG,92,A,7.8,10% OXY/60% UNL PREM/30 % UNL REG,JIM SELLERS,18-Nov-97
P44,PREMIUM,CG,92,A,10,10% OXY/75% UNL PREM/15% SUBGRADE,JIM SELLERS,18-Nov-97
P45,PREMIUM,CG,93,O,,,DAVID WOMBLE,6-May-96
P47,PREMIUM,CG,90,A,7.8,7.8% OXY/54 % UNL PREM/38.2% SUBGRADE,JIM SELLERS,20-Nov-97
P48,PREMIUM,CG,93,A,10,,JIM WATTERS,6-May-96
P49,PREMIUM,CG,94,A,10,,CHRIS BULLARD,30-Jul-96
P4B,PREMIUM,CG,92,N,,,LINDA  GILPATRICK,21-Nov-94
P4C,PREMIUM,CG,92,N,,,LINDA  GILPATRICK,21-Nov-94
P4E,PREMIUM,CG,94,O,,,,2-Nov-94
P4F,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P4G,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P4H,PREMIUM,CG,93,E,,,SARA GLEASON,15-May-02
P4I,PREMIUM,CG,93,A,10,,SARA GLEASON,15-May-02
P4J,PREMIUM,CG,92,N,,,LINDA  GILPATRICK,21-Nov-94
P4L,PREMIUM,CG,93,E,,,KEVIN LOGAN,7-Sep-04
P4M,PREMIUM,CG,92,N,,,LINDA  GILPATRICK,21-Nov-94
P4Q,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P4R,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P4U,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P4V,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P4W,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P4X,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P4Y,PREMIUM,CG,93,N,,,LINDA  GILPATRICK,21-Nov-94
P51,PREMIUM,CG,91,A,10,10% OXY/35% UNL PREM/55% UNL REG,JIM SELLERS,18-Nov-97
P54,PREMIUM,CG,91,A,10,10% OXY/60% UNL PREM/30% SUBGRADE,JIM SELLERS,18-Nov-97
P55,PREMIUM,CG,91,A,10,OVERADDITIZED 10% ETHANOL/45%PREM/45% REG,MARGARET WARD,15-Dec-10
P56,PREMIUM,CG,92,A,10,OVERADDITIZED 10% ETHANOL/60%PREM/30% REG,MARGARET WARD,15-Dec-10
P57,PREMIUM,CG,92,M,,,DAVE JOHNSON,7-Oct-96
P58,PREMIUM,CG,92,M,,,DAVE JOHNSON,7-Oct-96
P5A,PREMIUM,CG,93,O,,,LINDA  GILPATRICK,21-Nov-94
P5C,PREMIUM,CG,94,O,,,LINDA  GILPATRICK,21-Nov-94
P5D,PREMIUM,CG,93,A,10,,EVAN CURTIS,13-Jun-95
 P5F,PREMIUM,CBOB,91,N,,Base for 93 E10 / Match Colonial D3,STEVE WOOD,23-Jul-19
 P5G,PREMIUM,CBOB,91,N,,Base for 93 E10 / Match Colonial D4,STEVE WOOD,23-Jul-19
P5H,PREMIUM,CG,91,A,7.8,,JOE BRAZELL,3-May-00
P5K,PREMIUM,CG,92,A,,92 OCT CONV 3.5W%02 ETOH,AJ MEADE,7-Feb-12
P5M,PREMIUM,CG,90,N,,,LISA WILLIAMS,30-Mar-12
P5N,PREMIUM,CG,90,N,,,LISA WILLIAMS,30-Mar-12
P5P,PREMIUM,CG,91,A,5.7,,RANDY THOMPSON,29-Dec-03
P5Q,PREMIUM,CG,91,A,5.7,,HOLT DAVIS,7-Nov-06
P5R,PREMIUM,CG,92,A,,92 OCT CONV 3.5W%02 ETOH 10.0 RVP,AJ MEADE,7-Feb-12
P5T,PREMIUM,CG,92,A,10,,JEREMIAH JONES,25-Oct-12
P5U,PREMIUM,CG,92,A,10,,JEREMIAH JONES,25-Oct-12
P60,PREMIUM,CG,91,A,8.9,,DAVID WOMBLE,18-Oct-96
P62,PREMIUM,SUBOCTANE,90,A,10,,TIM DRINKARD,3-May-13
P64,PREMIUM,CG,91,N,,,JOE BRAZELL,28-Jan-97
P67,PREMIUM,SUBOCTANE,90,A,10,,TIM DRINKARD,3-May-13
P68,PREMIUM,CG,92,A,10,,JOE BRAZELL,28-Jan-97
P69,PREMIUM,CG,92,A,10,,JOE BRAZELL,28-Jan-97
P6A,PREMIUM,CG,92,A,10,,BARRY DUFFIN,4-Mar-02
P6B,PREMIUM,CG,91,N,,,SARA GLEASON,15-May-02
P6D,PREMIUM,CG,92,A,5.7,,BARRY DUFFIN,17-Jul-07
P6E,PREMIUM,CG,92,A,7.7,,BARRY DUFFIN,17-Jul-07
P6F,PREMIUM,CG,91,A,10,,JEAN PICKETT,30-Jul-07
P6G,PREMIUM,CG,91,A,7.8,,JEAN PICKETT,30-Jul-07
P6H,PREMIUM,CG,91,A,5.7,,JEAN PICKETT,30-Jul-07
P6J,PREMIUM,CG,92,A,5.7,,BARRY DUFFIN,31-Jul-07
P6K,PREMIUM,CG,92,A,7.7,,BARRY DUFFIN,31-Jul-07
P6L,PREMIUM,CG,92,A,10,,BARRY DUFFIN,31-Jul-07
P6R,PREMIUM,CG,88,N,,SUBGRADE MOUNTAIN REGION,LISA WILLIAMS,17-Feb-12
P6S,PREMIUM,CG,88,N,,SUBGRADE MOUNTAIN REGION,LISA WILLIAMS,17-Feb-12
P6T,PREMIUM,CG,88,N,,SUBGRADE MOUNTAIN REGION,LISA WILLIAMS,17-Feb-12
P6U,PREMIUM,CG,92,A,10,,TONY PATAK,15-Sep-15
P70,PREMIUM,CG,92,A,5.7,,JOE BRAZELL,28-Jan-97
P71,PREMIUM,CG,92,A,5.7,,JOE BRAZELL,28-Jan-97
P72,PREMIUM,CG,90,A,10,10% OXY/10% UNL PREM/80% UNL REG,JIM SELLERS,18-Nov-97
P75,PREMIUM,CG,91,N,,,JOE BRAZELL,2-Jul-97
P76,PREMIUM,CG,91,N,,,JOE BRAZELL,2-Jul-97
P79,PREMIUM,CG,91,A,10,,SARA GLEASON,26-Sep-97
P7A,PREMIUM,CG,92,A,5.7,,BARRY DUFFIN,4-Mar-02
P7B,PREMIUM,CG,92,A,5.7,,BARRY DUFFIN,4-Mar-02
P7G,PREMIUM,CG,,N,,,,31-Dec-92
P7H,PREMIUM,CG,93,A,10,,TRACY CROCKER,29-Apr-08
P7J,PREMIUM,CG,91,A,5,,JANELL JOSHUA,4-Dec-08
P7K,PREMIUM,CG,91,A,5,,JANELL JOSHUA,4-Dec-08
P7L,PREMIUM,CG,91,A,5,,JANELL JOSHUA,4-Dec-08
